ugCourse,ugSpecialization,jobRole,cgpa,historyofBacklogs,computerLiteracy,problemSolving,TechnicalSkill,ResearchSkill,communicationSkill,interpersonalSkill,teamwork,adaptability,timeManagement,emotionalIntelligence,continousLearning,leadership
BE or BTech,Electrical Engineering,Electrical Engineer,2.6,12.3,0.3,0.3,1.0,9.8,4.7,3.5,5.6,1.7,6.5,4.1,4.3,6.3
BSc,Physics,Lab Technician,4.0,8.8,8.6,1.6,8.4,5.6,9.7,3.2,7.7,4.6,9.0,4.2,9.2,6.0
BE or BTech,Electrical Engineering,Automotive Engineer,5.6,14.2,1.3,5.0,2.2,0.2,7.7,5.8,9.7,9.0,0.9,6.7,5.0,10.0
BSA,Space Engineering,Interstellar Photographer,5.7,5.2,1.0,7.5,2.4,7.9,0.1,6.6,7.4,7.1,9.4,5.5,4.3,7.1
BBA,Entrepreneurship,Marketing Manager,5.7,10.5,6.9,0.2,3.6,5.2,8.5,8.7,5.5,3.4,9.3,6.2,0.3,8.0
BCA,Computer Applications,IT Consultant,6.1,1.9,4.7,2.4,0.0,4.6,0.2,6.5,9.1,9.8,5.2,4.4,5.6,6.4
BFA,Fine Arts,Animator,3.0,0.2,5.8,2.3,1.4,7.5,1.2,8.8,1.5,1.9,8.9,0.2,5.0,3.8
BCom,Accounting,Retail Manager,7.5,12.7,4.7,1.2,9.5,1.2,2.6,9.4,3.3,4.6,1.1,0.5,5.5,6.3
BCA,Software Engineering,Computer Programmer,4.1,11.8,4.5,2.2,6.7,9.3,2.1,3.0,1.6,7.6,2.1,0.8,0.5,2.7
BBA,Business Administration,Supply Chain Manager,6.1,10.5,4.4,2.3,7.3,2.0,5.6,3.7,1.7,2.1,8.8,3.9,1.8,9.4
BCA,Web Development,Systems Analyst,8.0,13.0,8.6,3.6,4.4,8.8,8.5,2.9,0.8,4.6,2.1,1.9,7.8,8.0
BCom,Accounting,Retail Manager,7.2,8.2,8.3,3.6,0.1,1.4,4.3,6.4,0.1,1.6,5.7,2.8,5.4,1.3
BSA,Astronomy,Space Artist,8.4,2.9,6.2,0.6,8.0,6.5,5.9,5.1,3.0,5.6,3.1,2.9,9.5,4.0
BCom,Accounting,Business Consultant,8.6,14.0,5.8,5.3,5.7,9.2,7.5,9.9,2.7,4.6,5.8,4.5,6.5,7.7
BCA,Computer Applications,Network Administrator,9.4,13.8,9.0,3.2,1.6,4.4,2.4,0.3,2.7,0.1,1.9,9.7,2.6,2.0
BFA,Fine Arts,Art Director,1.6,11.2,6.3,1.6,4.5,5.6,3.3,0.1,4.9,9.3,9.5,7.4,10.0,1.4
BCom,Management,Retail Manager,5.6,3.1,7.1,3.9,3.4,1.6,1.4,8.0,7.8,1.2,2.2,6.2,0.6,6.2
BSA,Space Technology,Galactic Historian,1.8,0.4,8.2,9.1,4.5,8.9,8.7,7.0,2.0,5.6,5.5,0.4,4.4,3.2
BE or BTech,Electrical Engineering,Electrical Engineer,3.2,11.1,7.6,7.2,8.0,3.6,3.0,9.6,0.6,8.6,8.2,0.1,4.6,2.0
BCom,Finance,Business Consultant,1.6,10.9,1.8,8.6,5.3,0.3,1.8,8.6,8.2,3.7,8.0,6.7,6.5,5.3
BE or BTech,Mechanical Engineering,Aerospace Engineer,7.0,9.8,4.1,0.8,3.9,7.5,6.1,9.7,4.2,8.2,9.6,2.4,6.2,1.2
BSc,Biology,Data Analyst,5.7,11.4,0.5,9.2,7.5,0.9,9.1,4.1,4.0,0.1,2.4,5.7,1.9,0.7
BEd,Elementary Education,Teacher,5.2,1.5,5.2,2.0,8.7,4.5,8.5,7.2,7.4,2.7,8.6,8.7,0.2,8.0
BE or BTech,Computer Science,Network Engineer,3.8,9.6,1.1,2.5,2.8,9.7,8.2,4.6,6.2,6.4,1.2,6.0,8.0,6.1
BFA,Fine Arts,Gallery Curator,4.7,2.8,7.0,8.3,1.3,5.7,0.4,2.1,9.4,3.3,5.8,3.4,0.5,3.9
BArch,Landscape Architecture,Sustainability Consultant,5.9,13.6,4.6,8.9,2.3,3.1,9.9,5.5,7.0,6.8,0.0,4.1,8.8,6.1
BA,Economics,Marketing Coordinator,5.8,6.4,5.5,0.9,4.2,3.1,1.8,4.7,2.4,0.4,3.7,7.9,3.9,8.8
BA,Psychology,Customer Service Representative,2.0,12.8,8.6,6.5,9.2,0.9,2.7,4.5,0.2,6.4,5.8,9.7,1.8,3.0
BEd,Special Education,Instructional Designer,2.4,2.7,1.0,9.5,7.2,5.7,4.6,9.4,3.0,5.0,6.4,2.9,7.7,0.5
BArch,Landscape Architecture,Interior Designer,6.9,7.2,5.0,4.8,7.7,7.8,3.0,0.3,0.8,4.9,2.6,9.3,5.3,5.5
BCA,Information Technology,Database Administrator,1.8,11.1,9.7,3.2,9.9,4.7,5.9,1.5,5.0,0.5,6.2,1.3,4.5,8.1
BA,Economics,Event Planner,8.0,7.7,3.3,4.2,4.4,7.3,9.3,10.0,1.5,2.9,8.3,2.7,9.7,1.4
BFA,Painting,Graphic Designer,9.7,3.7,7.9,5.7,4.3,2.5,8.7,4.4,2.7,0.3,2.0,3.1,4.7,9.0
BA,Psychology,Fundraiser,9.3,10.0,8.7,7.3,0.8,0.7,6.0,9.1,8.4,7.8,7.7,7.7,3.2,8.9
BSc,Physics,Biomedical Engineer,6.6,6.0,4.0,7.8,6.5,9.0,1.7,0.9,3.3,5.6,1.7,7.7,7.1,4.1
BCom,Management,Auditor,5.7,3.3,0.4,3.5,9.4,0.4,4.2,4.5,9.5,2.5,3.9,2.5,1.5,4.4
BEd,Elementary Education,Special Education Teacher,7.6,10.5,6.3,9.6,8.5,2.8,7.1,0.3,3.8,5.2,4.3,6.2,8.6,0.8
BSc,Chemistry,Quality Control Analyst,3.6,3.2,0.9,2.3,5.3,0.2,0.7,5.1,9.8,3.1,5.6,9.0,8.4,2.2
BCom,Finance,Business Consultant,8.8,13.7,5.3,3.6,2.2,7.0,4.3,8.5,8.8,9.7,8.5,1.0,2.9,8.4
BFA,Graphic Design,Multimedia Artist,3.7,2.6,7.8,1.6,4.7,9.5,4.8,6.8,7.5,7.5,6.3,5.2,9.2,3.2
BCA,Information Technology,Computer Programmer,5.9,12.4,0.9,4.4,9.0,1.6,5.8,8.1,2.2,4.7,1.8,1.8,5.7,6.6
BArch,Interior Design,Construction Manager,4.2,14.1,1.6,7.5,3.1,4.8,4.3,8.6,7.4,9.9,2.4,1.5,9.4,9.7
BBA,Human Resource Management,Operations Manager,7.6,12.1,2.4,9.6,6.8,6.5,5.7,2.3,2.3,1.1,5.9,6.3,4.9,9.8
BE or BTech,Mechanical Engineering,Chemical Engineer,1.8,9.1,9.7,7.5,1.6,0.5,3.6,1.8,9.2,0.8,3.9,0.1,2.6,2.5
BSA,Space Engineering,Space Musician,6.1,5.7,1.1,0.9,0.7,6.3,7.7,0.6,5.4,1.9,6.4,1.9,7.8,9.6
BEd,Secondary Education,Curriculum Developer,9.6,4.8,9.8,3.7,3.1,9.3,5.3,2.3,0.7,3.3,7.3,6.3,7.1,5.2
BA,Psychology,Public Relations Specialist,5.9,3.6,9.7,4.6,8.4,7.1,7.9,9.6,1.7,2.2,1.8,3.4,5.4,1.2
BSc,Physics,Lab Technician,9.7,14.7,7.7,7.9,7.1,3.0,7.4,0.8,2.5,2.1,4.9,4.3,4.9,4.3
BEd,Secondary Education,ESL Teacher,2.7,6.5,7.1,5.8,3.3,5.7,8.5,1.2,3.3,8.6,5.0,3.0,1.4,4.1
BA,Economics,Public Relations Specialist,9.5,9.7,7.8,6.5,7.8,4.7,1.9,5.1,1.8,0.0,6.8,5.1,7.0,9.6
BFA,Sculpture,Animator,9.8,14.4,2.2,9.9,3.9,5.8,1.4,2.4,6.2,9.4,5.4,4.8,0.7,1.9
BArch,Landscape Architecture,Interior Designer,8.0,3.8,4.6,6.6,0.5,0.0,1.3,9.5,7.6,1.6,7.9,6.5,6.3,7.9
BSA,Astronomy,Galactic Historian,6.0,3.4,9.4,0.2,1.9,2.8,5.9,8.5,5.0,6.4,7.2,4.6,9.2,9.0
BArch,Urban Planning,Landscape Architect,7.0,2.0,2.3,0.1,6.0,1.3,2.4,2.8,1.8,0.6,6.9,0.1,8.3,7.1
BSA,Astrophysics,Exoplanetary Geologist,6.1,13.9,0.8,3.3,9.2,4.5,6.9,1.3,1.4,3.8,5.9,1.7,8.8,3.2
BEd,Elementary Education,Education Administrator,1.5,14.1,9.6,2.9,8.6,2.8,0.5,8.1,3.6,1.2,3.0,8.7,9.0,0.1
BFA,Graphic Design,Art Director,2.3,0.8,4.5,7.4,9.5,7.1,1.3,9.9,9.8,2.4,7.3,9.2,7.9,2.1
BE or BTech,Electrical Engineering,Aerospace Engineer,7.7,3.5,3.0,7.2,0.2,2.4,8.1,8.1,0.4,8.5,1.8,9.9,7.4,1.8
BArch,Architecture,Architect,9.4,14.3,7.3,4.3,7.5,7.3,9.7,7.4,7.7,5.6,0.7,6.1,6.0,6.5
BSc,Biology,Quality Control Analyst,6.8,6.6,0.6,7.7,8.1,3.8,5.7,8.9,4.7,7.0,7.1,7.4,3.1,7.0
BCA,Web Development,UI/UX Designer,8.9,3.1,1.3,5.3,9.8,7.6,1.7,9.3,1.6,1.8,5.7,7.4,9.8,3.2
BSA,Astrophysics,Spacecraft Designer,1.7,3.1,3.8,4.3,5.7,2.8,7.4,1.4,7.8,2.2,6.3,3.4,6.3,6.4
BBA,Human Resource Management,Entrepreneur,6.0,11.4,2.6,6.2,5.0,8.2,3.0,6.2,4.1,4.9,6.8,7.7,4.7,1.7
BCA,Web Development,Database Administrator,7.6,8.7,5.1,0.6,1.7,8.3,9.0,6.7,2.6,9.4,9.4,5.8,4.6,0.9
BE or BTech,Mechanical Engineering,Network Engineer,3.2,6.9,8.6,8.3,2.5,9.3,2.9,1.7,0.3,3.5,0.7,5.2,9.9,0.6
BBA,Human Resource Management,Management Consultant,9.8,3.2,3.3,0.7,1.5,4.5,7.8,9.6,7.0,2.1,9.9,0.8,9.3,9.6
BCA,Computer Applications,Software Developer,1.9,14.9,7.1,4.8,7.1,0.6,4.4,4.9,9.8,3.1,4.7,7.0,0.8,2.2
BCom,Marketing,Financial Analyst,7.8,4.0,3.1,7.2,7.0,4.6,0.1,1.2,8.7,3.0,2.1,6.1,2.3,0.9
BSA,Astronomy,Spacecraft Designer,4.1,9.4,0.8,2.5,5.4,7.2,1.5,8.1,2.1,1.7,7.5,8.5,7.8,4.5
BArch,Urban Planning,Historic Preservationist,6.3,14.8,2.1,1.8,2.7,5.7,4.7,7.6,8.3,6.6,6.4,5.1,0.7,1.0
BSA,Astronomy,Astrobiologist,1.5,4.0,8.8,8.1,9.9,9.0,5.9,5.2,5.5,0.4,2.9,9.4,4.6,4.2
BEd,Early Childhood Education,Teacher,2.0,7.7,2.5,0.8,6.8,4.7,8.4,3.4,4.4,4.5,3.7,3.9,6.5,0.9
BSc,Chemistry,Lab Technician,9.8,10.0,1.3,8.1,5.8,4.6,8.4,3.1,7.8,9.0,8.2,2.0,2.3,1.0
BFA,Fine Arts,Interior Designer,1.6,4.1,0.8,4.6,9.5,5.4,1.9,4.7,1.1,5.1,8.3,7.2,7.9,3.8
BA,Economics,Social Media Manager,9.2,4.9,7.9,2.9,3.9,7.4,0.5,1.3,7.2,5.1,0.4,2.3,4.6,3.0
BA,Economics,Human Resources Assistant,9.4,13.7,4.6,3.1,7.6,9.0,3.6,4.7,7.1,7.1,3.8,4.9,5.5,5.2
BE or BTech,Electrical Engineering,Aerospace Engineer,2.4,1.9,0.1,4.3,7.9,0.2,1.8,4.3,2.9,7.9,4.7,3.2,0.0,4.2
BFA,Sculpture,Gallery Curator,7.4,12.1,2.3,0.6,2.2,7.2,4.5,1.3,7.5,2.7,6.8,2.4,7.7,4.9
BBA,Entrepreneurship,Business Development Manager,10.0,7.6,5.3,3.1,2.5,3.4,8.0,6.8,5.6,3.3,5.7,5.3,6.1,2.9
BFA,Painting,Illustrator,6.1,1.1,4.6,7.6,8.8,4.7,0.8,1.7,5.6,4.7,2.6,6.1,2.1,4.7
BArch,Interior Design,Real Estate Developer,6.6,8.4,7.6,6.3,2.1,7.6,3.0,7.7,6.9,4.1,3.3,1.1,4.1,7.3
BCA,Information Technology,Network Administrator,9.4,11.9,5.0,4.5,3.3,8.8,3.6,7.7,7.5,8.6,3.3,2.7,3.6,8.9
BBA,Human Resource Management,Human Resources Manager,7.8,4.5,5.0,1.0,8.7,1.0,3.2,2.6,3.9,0.2,4.0,7.6,9.8,5.8
BFA,Fine Arts,Multimedia Artist,6.8,8.1,4.9,7.9,4.4,4.6,8.2,5.4,9.4,4.3,8.4,2.1,3.2,6.0
BE or BTech,Civil Engineering,Network Engineer,1.7,7.5,5.8,0.1,8.2,4.9,0.4,3.0,4.5,4.1,9.4,2.9,0.4,2.6
BEd,Elementary Education,ESL Teacher,1.6,6.7,9.3,6.4,3.7,6.1,6.3,4.9,9.3,5.8,6.7,6.6,2.0,6.3
BA,History,Fundraiser,5.8,2.8,6.9,6.1,7.3,5.8,7.1,3.5,4.5,6.4,1.2,4.7,4.1,8.4
BArch,Urban Planning,Architect,9.8,1.3,5.6,4.9,5.0,6.4,1.2,2.4,7.1,0.6,1.5,1.3,8.8,3.0
BE or BTech,Mechanical Engineering,Automotive Engineer,4.3,9.2,9.4,6.4,7.6,0.9,1.0,1.0,3.1,5.8,6.6,3.0,6.1,6.7
BSA,Astrophysics,Space Musician,9.9,5.2,3.7,4.7,0.6,9.7,6.4,5.7,1.9,0.5,5.1,7.9,9.6,0.1
BCom,Accounting,Accountant,2.0,12.4,4.9,2.1,2.6,0.7,3.2,5.1,3.5,8.1,8.8,7.8,1.0,1.1
BA,Economics,Marketing Coordinator,6.0,6.4,8.6,4.0,3.7,2.6,4.1,5.6,8.5,9.9,3.1,5.2,1.1,2.7
BCA,Computer Applications,Cybersecurity Analyst,6.7,1.4,3.4,1.1,1.8,5.3,6.1,9.9,6.4,0.4,3.5,7.2,4.4,6.9
BCom,Finance,Sales Executive,8.1,14.1,5.3,4.2,7.6,1.2,6.8,8.9,5.8,0.5,6.5,1.0,5.1,6.5
BCom,Accounting,Retail Manager,9.2,13.3,7.2,3.5,4.5,7.4,6.8,1.2,0.0,7.2,1.3,9.0,0.2,6.7
BFA,Painting,Film and Video Editor,1.5,8.4,0.7,3.8,6.7,9.9,2.7,7.2,9.6,0.9,6.3,1.8,7.6,0.1
BA,History,Public Relations Specialist,7.1,7.0,2.5,5.2,6.8,0.6,3.3,9.3,4.7,4.0,5.8,6.2,6.3,7.8
BCom,Management,E-commerce Manager,7.3,0.1,9.0,8.0,9.9,1.4,10.0,5.7,9.4,5.3,0.7,6.7,3.8,8.2
BE or BTech,Computer Science,Automotive Engineer,5.5,8.0,9.6,5.9,0.9,1.5,6.1,2.7,0.2,7.1,9.2,8.1,4.2,3.5
BBA,International Business,Marketing Manager,7.5,9.2,8.8,9.3,5.2,7.5,8.3,7.1,4.5,1.9,7.9,6.2,1.1,5.6
BSA,Astronomy,Spacecraft Designer,6.7,10.1,9.9,6.8,3.1,4.2,8.7,1.9,6.8,6.9,2.6,9.5,2.3,4.2
BSA,Astrophysics,Space Musician,3.3,9.2,4.1,6.2,3.1,6.6,1.8,8.1,3.8,0.4,0.6,8.1,3.3,4.7
BEd,Elementary Education,School Librarian,4.2,3.3,3.9,5.2,1.0,2.4,3.5,6.8,3.5,7.9,6.7,7.1,7.6,8.0
BArch,Interior Design,Real Estate Developer,1.4,10.4,6.8,0.7,8.1,5.8,2.4,0.7,3.3,1.5,2.2,2.9,9.8,2.9
BSA,Space Engineering,Intergalactic Diplomat,6.4,0.6,1.5,7.1,4.4,7.0,9.1,9.9,9.3,4.7,6.5,2.7,9.4,9.7
BA,Psychology,Public Relations Specialist,7.2,6.1,5.0,0.9,0.3,7.4,6.0,9.5,0.2,2.2,8.4,1.8,9.3,0.5
BA,History,Journalist,8.0,1.4,0.1,8.8,2.1,1.8,2.5,7.8,1.5,9.8,8.2,9.4,9.5,8.8
BSc,Biology,Environmental Scientist,6.3,5.3,1.7,4.3,9.0,2.2,9.1,5.3,2.3,0.7,4.9,0.5,2.3,0.3
BBA,Human Resource Management,Operations Manager,9.9,10.6,4.1,7.0,0.3,1.8,9.7,2.1,6.2,6.3,4.4,7.2,8.6,2.0
BArch,Architecture,Architect,5.1,5.0,1.3,7.5,7.6,1.9,8.2,6.7,0.2,5.2,10.0,2.6,4.6,4.3
BBA,Entrepreneurship,Human Resources Manager,8.1,4.3,5.7,4.4,2.0,1.9,6.1,5.4,0.9,4.3,0.2,6.1,8.9,7.6
BCA,Information Technology,Computer Programmer,6.3,10.8,9.5,9.6,10.0,4.0,6.9,5.6,3.6,6.7,9.0,2.6,1.3,9.2
BArch,Landscape Architecture,Real Estate Developer,7.5,9.7,0.5,4.0,7.0,4.3,5.2,1.4,2.5,0.4,1.1,8.9,3.9,8.3
BE or BTech,Mechanical Engineering,Software Engineer,1.4,14.6,8.1,4.4,4.2,7.9,2.5,6.1,7.9,5.1,5.9,1.8,8.6,2.4
BE or BTech,Electrical Engineering,Software Engineer,7.8,5.5,9.0,3.7,5.2,8.4,5.5,6.8,1.0,7.7,9.4,4.6,1.0,5.1
BSc,Physics,Pharmaceutical Sales Representative,3.6,1.4,6.8,0.5,7.6,3.3,9.5,6.8,0.0,0.3,0.8,9.6,8.2,3.1
BE or BTech,Civil Engineering,Aerospace Engineer,6.6,5.2,4.3,6.3,3.0,0.4,1.6,4.1,4.0,6.7,6.8,0.2,6.9,8.4
BSc,Biology,Pharmaceutical Sales Representative,2.6,5.7,2.6,1.6,3.4,5.6,4.3,5.7,4.0,8.1,9.2,9.1,0.0,6.7
BCom,Marketing,Risk Analyst,9.1,9.9,5.2,8.7,7.7,7.2,7.9,6.1,4.2,7.7,1.3,0.2,2.7,9.4
BCom,Finance,Sales Executive,8.1,2.0,5.5,0.0,8.4,1.0,9.8,5.9,7.8,1.8,3.0,0.5,9.0,3.2
BSA,Astrophysics,Galactic Historian,1.3,9.9,5.2,9.8,6.3,3.8,7.9,0.9,0.1,2.2,2.4,7.3,5.1,0.5
BFA,Fine Arts,Gallery Curator,1.8,13.8,3.1,1.8,7.7,6.3,3.4,3.1,8.9,8.0,5.4,9.3,9.2,7.8
BCom,Accounting,Investment Analyst,6.4,1.2,6.3,7.2,5.0,4.7,4.6,1.5,0.4,7.2,1.9,2.5,6.6,2.5
BArch,Urban Planning,Urban Planner,2.8,14.4,3.2,7.2,9.8,7.5,4.6,9.2,3.2,8.8,0.8,4.7,4.6,3.0
BSc,Physics,Forensic Scientist,9.4,3.3,2.1,4.9,5.4,8.7,6.7,5.3,9.8,0.4,1.6,8.7,9.3,0.4
BCA,Web Development,Systems Analyst,8.7,1.5,6.2,6.1,5.5,9.6,6.7,7.7,6.9,8.4,5.1,4.1,4.5,1.3
BA,English Literature,Content Writer,7.9,2.3,3.7,9.2,0.8,7.8,4.9,8.5,4.9,5.5,7.5,3.0,1.1,5.3
BA,Psychology,Human Resources Assistant,6.6,4.4,8.2,2.2,3.5,4.5,4.1,6.2,3.7,7.9,9.0,2.8,7.2,1.9
BArch,Urban Planning,Architect,6.4,7.7,7.4,7.2,3.7,2.7,2.6,1.7,7.5,6.2,5.1,3.5,9.8,3.3
BSA,Astronomy,Space Artist,4.2,11.3,4.7,6.5,3.3,4.4,4.7,7.6,3.8,2.8,4.5,3.4,4.0,10.0
BBA,Human Resource Management,Project Manager,3.8,4.3,5.9,3.1,8.1,2.4,3.4,4.2,1.6,3.8,5.7,0.6,7.9,4.9
BA,Psychology,Social Media Manager,5.1,11.6,2.8,0.7,4.3,2.6,1.7,3.0,8.8,6.3,0.8,2.7,3.7,6.0
BSA,Astronomy,Astrobiologist,5.7,3.8,6.7,2.9,5.2,3.6,2.0,5.7,9.1,4.1,8.7,5.0,1.8,8.3
BEd,Early Childhood Education,Tutor,7.1,12.4,9.2,3.4,5.1,1.2,1.3,0.8,4.5,4.2,4.5,4.4,4.6,9.4
BSc,Biology,Statistician,6.4,9.7,4.9,7.4,2.1,9.2,5.2,6.1,0.4,8.3,6.4,9.2,1.9,2.7
BFA,Painting,Multimedia Artist,2.2,9.2,6.2,8.3,2.9,9.2,5.8,3.2,9.2,0.4,6.9,1.8,4.4,4.8
BEd,Elementary Education,ESL Teacher,7.9,14.9,1.7,5.5,1.8,1.9,6.1,6.1,2.0,8.0,8.3,8.8,4.3,2.7
BEd,Early Childhood Education,Education Administrator,4.8,4.5,8.0,6.1,9.6,0.2,6.7,1.5,6.8,6.5,3.0,7.2,8.8,3.1
BE or BTech,Mechanical Engineering,Mechanical Engineer,5.7,8.0,8.3,5.1,6.7,3.6,9.6,6.4,8.9,8.6,9.5,3.4,1.0,4.7
BCom,Marketing,Financial Analyst,10.0,7.6,1.5,9.6,3.6,0.7,4.3,0.7,8.9,6.7,4.7,7.5,7.0,8.7
BEd,Special Education,Education Consultant,7.6,9.0,0.0,8.2,6.1,5.9,9.4,10.0,8.4,6.5,5.7,8.8,9.8,7.5
BArch,Architecture,Urban Planner,6.0,5.3,1.9,9.4,4.5,0.1,6.7,5.3,5.4,5.1,0.5,6.4,6.2,5.2
BFA,Fine Arts,Animator,8.5,5.2,9.6,1.4,2.0,5.6,1.0,8.3,2.3,4.1,9.0,6.2,6.2,6.1
BCA,Information Technology,Web Developer,7.8,0.5,0.4,8.8,7.1,4.6,2.9,5.3,3.5,4.9,3.5,7.4,9.2,5.9
BEd,Secondary Education,Education Consultant,3.0,0.4,3.9,7.2,2.3,9.6,8.8,1.3,10.0,8.9,8.9,9.4,5.0,7.1
BCA,Software Engineering,Systems Analyst,2.1,10.9,4.5,4.9,2.5,9.5,7.7,0.6,6.7,6.9,2.7,1.2,2.6,1.4
BBA,Business Administration,Sales Manager,1.3,10.1,7.2,4.5,0.4,7.6,2.9,5.3,5.3,1.8,0.3,4.9,2.7,0.3
BBA,Entrepreneurship,Sales Manager,1.3,3.0,9.8,3.3,3.1,0.4,4.3,8.6,1.4,3.0,0.2,3.0,3.0,7.6
BSc,Physics,Forensic Scientist,7.0,0.7,0.6,7.2,9.1,9.0,8.6,8.3,1.7,8.6,6.2,7.9,4.1,1.3
BSc,Biology,Lab Technician,6.2,14.3,7.5,6.1,4.2,6.6,3.2,0.4,4.2,5.1,0.6,7.7,4.9,7.5
BFA,Graphic Design,Illustrator,3.9,10.7,4.0,4.9,8.7,5.1,8.6,0.7,6.4,8.6,0.0,3.3,6.6,2.8
BSc,Mathematics,Lab Technician,2.7,13.1,3.0,6.8,3.4,3.8,1.1,5.7,8.3,3.7,1.3,4.8,7.4,8.8
BBA,Human Resource Management,Project Manager,1.1,5.5,9.8,5.3,1.9,4.3,1.1,1.5,7.5,1.8,5.5,9.0,6.4,8.9
BCom,Accounting,Retail Manager,3.2,14.1,4.0,8.8,9.5,2.3,8.2,4.2,7.8,5.8,7.0,1.2,8.1,5.2
BArch,Interior Design,Sustainability Consultant,2.0,14.5,7.8,7.6,4.7,0.7,1.2,2.9,2.2,7.8,1.5,8.7,2.3,4.9
BArch,Urban Planning,CAD Technician,1.7,4.2,8.2,9.2,7.4,6.5,9.9,8.5,0.7,7.8,5.1,7.9,5.0,6.2
BSc,Physics,Pharmaceutical Sales Representative,7.5,10.5,9.1,3.3,6.1,3.5,0.1,8.0,5.3,6.2,9.5,6.0,6.2,3.2
BEd,Special Education,School Librarian,2.2,11.4,4.2,4.8,8.2,1.9,4.2,10.0,5.5,7.2,4.8,3.9,2.1,8.1
BFA,Sculpture,Animator,7.8,11.4,9.1,4.8,6.9,4.9,5.1,5.5,2.1,2.5,4.6,8.8,1.5,2.8
BFA,Painting,Animator,6.6,6.9,7.9,1.5,3.4,8.3,7.7,7.9,4.4,9.9,4.1,2.9,0.2,3.9
BA,Psychology,Content Writer,9.8,14.2,1.0,4.9,4.9,9.0,5.9,7.9,5.5,8.0,1.0,8.1,7.2,7.6
BE or BTech,Mechanical Engineering,Robotics Engineer,1.7,12.8,7.9,9.0,5.1,5.8,0.7,2.6,6.6,9.2,7.3,10.0,0.1,3.5
BCA,Web Development,Network Administrator,4.6,3.7,0.1,1.4,4.8,4.9,9.0,6.4,4.9,1.6,0.5,2.4,2.3,9.5
BArch,Urban Planning,Construction Manager,1.6,11.6,9.8,7.1,7.3,5.7,6.0,6.7,3.5,7.4,1.3,6.6,2.9,4.6
BCA,Software Engineering,Computer Programmer,2.9,12.3,7.2,5.4,8.0,4.5,4.3,5.5,5.9,6.5,1.4,9.6,5.0,0.8
BA,History,Event Planner,8.1,4.7,7.1,6.1,1.4,3.7,2.6,3.3,4.7,9.6,2.6,1.9,5.0,7.3
BEd,Secondary Education,Education Administrator,8.9,6.7,1.0,0.8,3.6,5.3,7.0,4.1,8.6,9.3,9.7,0.5,6.1,0.1
BSc,Physics,Research Scientist,8.3,6.5,9.7,4.8,7.1,6.1,4.4,4.5,4.8,3.1,7.3,6.3,3.3,0.3
BSA,Space Technology,Intergalactic Diplomat,7.3,9.7,7.3,8.8,3.6,3.1,6.3,6.8,2.5,6.8,1.0,3.5,9.3,7.8
BE or BTech,Computer Science,Biomedical Engineer,1.2,1.0,7.5,7.7,3.1,3.8,0.6,3.5,6.7,1.8,9.2,8.3,4.0,3.3
BArch,Interior Design,Real Estate Developer,6.5,12.1,7.2,4.1,9.7,9.0,4.6,4.4,2.4,3.1,2.6,5.9,0.8,8.9
BA,History,Content Writer,6.6,7.0,8.7,6.3,7.6,1.0,1.6,7.0,9.5,1.4,2.8,0.8,2.5,2.1
BFA,Painting,Graphic Designer,9.8,0.8,4.5,2.7,7.6,1.5,8.3,9.0,3.2,5.5,7.0,1.1,7.8,9.9
